      date        h         min      t_sum  MLT   MLAT   GLON   GLAT
 01.06.2013      19         12      19.20 21.85  71.89   19.2   74.5
 01.06.2013      20         45      20.75 23.25  64.03  20.42  67.84
 02.06.2013       2         54       2.90  0.98  65.75 314.56  61.16
 02.06.2013       8         22       8.37  23.2  67.47 238.77  61.76
 03.06.2013       0         24       0.40  2.86  66.65  18.94  69.66
 03.06.2013       3         47       3.78  1.84  65.75 314.56  61.16
 03.06.2013      10          8      10.13 22.25  70.64 203.38  71.32
 03.06.2013      20         33      20.55  1.25  65.95  61.21   69.6
 04.06.2013       5          7       5.12 22.58   68.5 265.79  57.71
 04.06.2013      22         38      22.63  0.86  65.74  16.03   69.3
 05.06.2013       7         20       7.33  0.92  72.45 267.89  62.82
 05.06.2013      13          6      13.10  0.91  70.64 203.38  71.32
 06.06.2013       3          9       3.15  1.21  65.75 314.56  61.16
 06.06.2013       6         47       6.78  1.79  66.31 282.24  55.28
 07.06.2013      19         23      19.38 22.03  71.89   19.2   74.5
 08.06.2013       3         23       3.38  1.43  65.75 314.56  61.16
 08.06.2013       6         49       6.82 20.36  71.57 226.23  68.41
 08.06.2013       8         14       8.23 21.19  67.65 214.78  66.56
 08.06.2013      11         55      11.92  1.42  71.57 226.23  68.41
 09.06.2013       8         57       8.95 21.93  67.65 214.78  66.56
 09.06.2013      12         10      12.17  0.18  65.59 199.56  66.97
 10.06.2013       9         51       9.85 23.36  66.24 220.89  64.05
 10.06.2013      13         35      13.58   2.8  71.57 226.23  68.41
 11.06.2013      11         27      11.45  2.25  67.47 238.77  61.76
 11.06.2013      13         27      13.45  2.09  67.65 214.78  66.56
 12.06.2013       7         33       7.55 20.35   71.5 216.35  70.14
 13.06.2013       0          0       0.00  2.44   67.8  18.94  69.66
 13.06.2013       3         23       3.38  1.14  67.41 310.32     62
 15.06.2013       0         21       0.35  2.77   67.8  18.94  69.66
 19.06.2013       0         53       0.88  2.86  66.86  16.03   69.3
 19.06.2013      20         35      20.58 23.68  73.53   15.6     77
 21.06.2013       8          4       8.07  0.39   63.8 254.74   55.2
 21.06.2013       9         19       9.32  0.13  67.47 238.77  61.76
 21.06.2013      16          2      16.03  2.06  65.92  170.9  70.08
 21.06.2013      18         13      18.22 20.38  66.37  16.03   69.3
 22.06.2013       0         14       0.23  2.58  65.19  18.82  68.35
 22.06.2013      12         51      12.85  2.07  66.24 220.89  64.05
 22.06.2013      14         38      14.63   0.6  65.92  170.9  70.08
 22.06.2013      22         45      22.75  1.16  65.19  18.82  68.35
 23.06.2013       0         18       0.30  2.48  67.07  16.03   69.3
 23.06.2013       8         39       8.65  0.27  67.48 248.89  58.77
 23.06.2013      20         39      20.65  23.5  75.64  11.95  78.92
 24.06.2013       3         34       3.57  1.55  65.75 314.56  61.16
 24.06.2013       8          1       8.02 23.61  67.48 248.89  58.77
 24.06.2013      23          5      23.08  1.61  64.41  23.53  68.02
 25.06.2013       3         30       3.50  1.49  65.75 314.56  61.16
 25.06.2013       8         33       8.55  0.97     67 256.32  58.22
 28.06.2013       6         28       6.47  2.57  72.21 291.48  63.75
 29.06.2013      14         32      14.53   0.5  65.92  170.9  70.08
 29.06.2013      22          6      22.10  0.58  66.65  18.94  69.66
 30.06.2013       1         59       1.98 21.02  66.31 282.24  55.28
 30.06.2013       3         39       3.65 22.61  66.31 282.24  55.28
 30.06.2013      10         33      10.55 23.98  66.24 220.89  64.05
 30.06.2013      11         48      11.80  1.14  66.24 220.89  64.05
 30.06.2013      15         27      15.45 20.39  69.34   80.7  73.53
 30.06.2013      18         26      18.43  2.93  66.71 128.92  71.59
 30.06.2013      20         23      20.38 22.89  66.65  18.94  69.66
 30.06.2013      22          7      22.12  0.59  66.65  18.94  69.66
 01.07.2013       3          2       3.03 23.08   66.7  291.6   58.1
 03.07.2013      15         27      15.45 23.18  66.71 128.92  71.59
 05.07.2013       3         49       3.82  1.49  67.41 310.32     62
 05.07.2013       4         48       4.80  2.47  67.41 310.32     62
 05.07.2013      22          3      22.05  0.48   67.8  22.22  70.54
 06.07.2013       0         17       0.28  2.63   67.8  18.94  69.66
 08.07.2013       4          7       4.12  2.06  65.75 314.56  61.16
 08.07.2013       7         17       7.28 22.97  64.28 248.79  56.66
 08.07.2013      11          6      11.10  1.85  67.47 238.77  61.76
 09.07.2013       8         12       8.20  1.49  66.16 265.36  56.38
 12.07.2013       1         48       1.80 23.55  67.41 310.32     62
 12.07.2013      21         46      21.77  0.35   65.6  23.05  69.02
 12.07.2013      23         45      23.75  2.31  66.82  22.96  69.86
 13.07.2013       2         56       2.93   2.8  71.63 338.03  70.48
 16.07.2013      10          7      10.12  1.72  67.48 248.89  58.77
 18.07.2013      10          9      10.15 23.54  66.24 220.89  64.05
 19.07.2013      21         45      21.75  0.35  66.82  22.96  69.86
 20.07.2013       0         15       0.25  2.27  65.74  16.03   69.3
 20.07.2013       1         38       1.63 23.39  67.41 310.32     62
 21.07.2013      20         16      20.27 22.69  66.65  18.94  69.66
 22.07.2013      21         49      21.82  0.41  68.19  22.22  70.54
 23.07.2013       1         16       1.27 22.96  69.98 308.27  64.17
 23.07.2013      13          2      13.03  0.78  70.64 203.38  71.32
 23.07.2013      19         57      19.95  0.85  67.35  66.83  71.16
 24.07.2013       1         24       1.40 23.44  65.75 314.56  61.16
 24.07.2013      13         53      13.88  1.46  70.64 203.38  71.32
 25.07.2013       3         40       3.67  1.24  69.98 308.27  64.17
 25.07.2013       9         15       9.25  0.82  67.48 248.89  58.77
 26.07.2013       9         30       9.50 22.38  67.65 214.78  66.56
 26.07.2013      12          4      12.07 23.94  70.64 203.38  71.32
 27.07.2013       0          9       0.15  2.06  66.86  16.03   69.3
 27.07.2013       9         33       9.55 22.92  66.24 220.89  64.05
 27.07.2013      21         19      21.32   2.2  67.35  66.83  71.16
 28.07.2013       9         11       9.18 22.54  66.24 220.89  64.05
 28.07.2013      21         56      21.93   2.8  67.35  66.83  71.16
 29.07.2013       2         22       2.37  0.19  72.64  307.1  65.42
 29.07.2013       6         11       6.18  23.5   68.5 265.79  57.71
 29.07.2013      10         11      10.18 22.16  70.64 203.38  71.32
 30.07.2013       2         56       2.93  0.53  69.98 308.27  64.17
 30.07.2013       5         19       5.32  1.31   66.7  291.6   58.1
 30.07.2013      18         10      18.17 22.89  67.35  66.83  71.16
 31.07.2013       2         17       2.28 23.99  67.41 310.32     62
 31.07.2013      11         55      11.92  0.73  67.65 214.78  66.56
 31.07.2013      19         23      19.38  1.12  69.34   80.7  73.53
 02.08.2013       4         29       4.48  0.57  72.21 291.48  63.75
 02.08.2013       8         42       8.70  1.87  78.51  270.3   68.5
 04.08.2013       6         50       6.83 22.36  67.48 248.89  58.77
 04.08.2013       8         43       8.72  0.42  64.28 248.79  56.66
 04.08.2013      15         25      15.42 23.19  66.71 128.92  71.59
