     date              t_sum        Kp       ap        D
 01.06.2013             1.5       5.667         67           1
 01.06.2013             4.5           7        132           1
 01.06.2013             7.5       6.333         94           1
 01.06.2013            10.5           5         48           1
 01.06.2013            13.5       5.667         67           1
 01.06.2013            16.5       3.333         18           1
 01.06.2013            19.5       3.667         22           1
 01.06.2013            22.5           3         15           1
 02.06.2013             1.5           4         27           1
 02.06.2013             4.5       3.333         18           1
 02.06.2013             7.5       3.333         18           1
 02.06.2013            10.5           3         15           1
 02.06.2013            13.5       3.333         18           1
 02.06.2013            16.5       2.667         12           1
 02.06.2013            19.5           3         15           1
 02.06.2013            22.5       2.667         12           1
 03.06.2013             1.5           3         15           1
 03.06.2013             4.5           2          7           1
 03.06.2013             7.5       1.667          6           1
 03.06.2013            10.5       1.667          6           1
 03.06.2013            13.5       1.333          5           1
 03.06.2013            16.5           2          7           1
 03.06.2013            19.5       2.667         12           1
 03.06.2013            22.5           3         15           1
 04.06.2013             1.5           3         15           1
 04.06.2013             4.5       2.333          9           1
 04.06.2013             7.5           2          7           1
 04.06.2013            10.5       1.333          5           1
 04.06.2013            13.5       0.667          3           1
 04.06.2013            16.5           1          4           1
 04.06.2013            19.5       1.667          6           1
 04.06.2013            22.5       2.667         12           1
 05.06.2013             1.5       2.333          9           1
 05.06.2013             4.5       1.333          5           1
 05.06.2013             7.5           1          4           1
 05.06.2013            10.5           1          4           1
 05.06.2013            13.5       1.333          5           1
 05.06.2013            16.5           1          4           1
 05.06.2013            19.5       1.333          5           1
 05.06.2013            22.5           1          4           1
 06.06.2013             1.5       1.333          5           1
 06.06.2013             4.5           3         15           1
 06.06.2013             7.5           3         15           1
 06.06.2013            10.5           3         15           1
 06.06.2013            13.5       3.667         22           1
 06.06.2013            16.5           5         48           1
 06.06.2013            19.5           4         27           1
 06.06.2013            22.5       4.667         39           1
 07.06.2013             1.5           5         48           1
 07.06.2013             4.5       5.667         67           1
 07.06.2013             7.5       4.667         39           1
 07.06.2013            10.5           4         27           1
 07.06.2013            13.5           3         15           1
 07.06.2013            16.5       2.333          9           1
 07.06.2013            19.5       1.667          6           1
 07.06.2013            22.5       1.333          5           1
 08.06.2013             1.5       2.333          9           1
 08.06.2013             4.5           3         15           1
 08.06.2013             7.5           3         15           1
 08.06.2013            10.5       2.333          9           1
 08.06.2013            13.5           1          4           1
 08.06.2013            16.5       0.333          2           1
 08.06.2013            19.5       0.333          2           1
 08.06.2013            22.5           1          4           1
 09.06.2013             1.5           1          4           1
 09.06.2013             4.5       1.333          5           1
 09.06.2013             7.5       1.333          5           1
 09.06.2013            10.5           1          4           1
 09.06.2013            13.5       2.333          9           1
 09.06.2013            16.5       2.667         12           1
 09.06.2013            19.5       2.333          9           1
 09.06.2013            22.5       2.333          9           1
 10.06.2013             1.5       2.333          9           1
 10.06.2013             4.5       3.333         18           1
 10.06.2013             7.5       3.333         18           1
 10.06.2013            10.5       2.667         12           1
 10.06.2013            13.5       2.333          9           1
 10.06.2013            16.5           2          7           1
 10.06.2013            19.5       1.667          6           1
 10.06.2013            22.5       0.333          2           1
 11.06.2013             1.5       0.333          2           1
 11.06.2013             4.5       0.333          2           1
 11.06.2013             7.5       0.333          2           1
 11.06.2013            10.5           1          4           1
 11.06.2013            13.5       2.667         12           1
 11.06.2013            16.5       2.333          9           1
 11.06.2013            19.5       1.333          5           1
 11.06.2013            22.5       1.333          5           1
 12.06.2013             1.5           1          4           1
 12.06.2013             4.5       1.333          5           1
 12.06.2013             7.5           1          4           1
 12.06.2013            10.5           1          4           1
 12.06.2013            13.5           1          4           1
 12.06.2013            16.5       0.667          3           1
 12.06.2013            19.5       0.333          2           1
 12.06.2013            22.5           1          4           1
 13.06.2013             1.5       1.667          6           1
 13.06.2013             4.5           1          4           1
 13.06.2013             7.5           0          0           1
 13.06.2013            10.5       0.333          2           1
 13.06.2013            13.5       0.333          2           1
